params,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (100,), 'classification__max_iter': 200, 'classification__random_state': 24, 'feature_selection__k': 75}",0.8566090096744956,0.04789958928156891,79,190.66138378779092,109.74142093652779,1.1019649505615234,0.3534198889361356
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (100,), 'classification__max_iter': 200, 'classification__random_state': 24, 'feature_selection__k': 100}",0.843118414108644,0.043978629925644296,115,181.2073850631714,102.39015300287109,1.0063488483428955,0.09359175183048865
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (100,), 'classification__max_iter': 200, 'classification__random_state': 24, 'feature_selection__k': 150}",0.8584630452018928,0.033430911587120554,71,128.09489599863687,49.95397679578101,1.0007220109303792,0.1452241102527611
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (100,), 'classification__max_iter': 200, 'classification__random_state': 24, 'feature_selection__k': 200}",0.8705718826673373,0.038457316453013014,25,307.3808522224426,121.59688384728487,2.4300992488861084,0.1011746315045866
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (100,), 'classification__max_iter': 200, 'classification__random_state': 24, 'feature_selection__k': 300}",0.8698608095601449,0.03901390792879658,29,232.2425119082133,186.08994969885492,1.415221929550171,0.680442208958197
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (100,), 'classification__max_iter': 200, 'classification__random_state': 24, 'feature_selection__k': 400}",0.878363245244335,0.030562407294309264,3,298.02172962824505,282.7844010558045,1.9988714853922527,1.0740549863871158
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (100,), 'classification__max_iter': 500, 'classification__random_state': 24, 'feature_selection__k': 75}",0.8566090096744956,0.04789958928156891,79,191.3872159322103,110.0747749579556,1.1078416506449382,0.35266510779500054
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (100,), 'classification__max_iter': 500, 'classification__random_state': 24, 'feature_selection__k': 100}",0.843118414108644,0.043978629925644296,115,182.6595786412557,102.53247539892236,1.0058701833089192,0.07741287015988567
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (100,), 'classification__max_iter': 500, 'classification__random_state': 24, 'feature_selection__k': 150}",0.8584630452018928,0.033430911587120554,71,113.57646012306213,50.96927053013492,1.0151062806447346,0.13546869096792633
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (100,), 'classification__max_iter': 500, 'classification__random_state': 24, 'feature_selection__k': 200}",0.8705718826673373,0.038457316453013014,25,293.51432371139526,119.72017319164607,2.425649563471476,0.10997004430663215
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (100,), 'classification__max_iter': 500, 'classification__random_state': 24, 'feature_selection__k': 300}",0.8698608095601449,0.03901390792879658,29,222.03408797581992,187.09621557726098,1.422800064086914,0.6970802383037139
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (100,), 'classification__max_iter': 500, 'classification__random_state': 24, 'feature_selection__k': 400}",0.878363245244335,0.030562407294309264,3,286.57966526349384,287.39272764546234,1.9877269268035889,1.0623982824428553
"{'classification__activation': 'relu', 'classification__alpha': 0.0001, 'classification__early_stopping': True, 'classification__hidden_layer_sizes': (300,), 'classification__max_iter': 200, 'classification__random_state': 24, 'feature_selection__k': 75}",0.8454667986205564,0.06540761942315916,107,272.64994446436566,162.0196055810921,1.6296194394429524,0.9253648345443446
