params,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.5, 'classification__n_estimators': 100, 'classification__random_state': 24, 'feature_selection__k': 75}",0.8679496569132713,0.03610664302316956,9,21.06875975926717,4.201410282521849,0.28082942962646484,0.09027261287981912
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.5, 'classification__n_estimators': 100, 'classification__random_state': 24, 'feature_selection__k': 100}",0.8324790341086117,0.07598317651280324,191,25.690035661061604,5.390220000343339,0.2715741793314616,0.0962463530598586
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.5, 'classification__n_estimators': 100, 'classification__random_state': 24, 'feature_selection__k': 150}",0.8591822541526178,0.05016748200923972,51,29.417810281117756,5.72156139966192,0.3767569065093994,0.2296709120623834
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.5, 'classification__n_estimators': 100, 'classification__random_state': 24, 'feature_selection__k': 200}",0.8538777495240996,0.0550640938454238,81,34.13411577542623,7.68248775072514,0.37653255462646484,0.20639555263397388
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.5, 'classification__n_estimators': 100, 'classification__random_state': 24, 'feature_selection__k': 300}",0.8515109889595737,0.05965706832283568,97,40.03451156616211,9.418230049597945,0.3518836498260498,0.11910829625859572
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.5, 'classification__n_estimators': 100, 'classification__random_state': 24, 'feature_selection__k': 400}",0.8658964650453048,0.04645879585322351,14,46.927879333496094,10.238507798010668,0.38901758193969727,0.12593464514101027
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.5, 'classification__n_estimators': 300, 'classification__random_state': 24, 'feature_selection__k': 75}",0.8730295988830856,0.03295985489601097,1,58.57317614555359,11.843564130862655,0.8516732851664225,0.48695053992513676
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.5, 'classification__n_estimators': 300, 'classification__random_state': 24, 'feature_selection__k': 100}",0.835121082120401,0.07318026849006569,185,69.86426711082458,14.852375426885002,0.7171026070912679,0.25013884132050956
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.5, 'classification__n_estimators': 300, 'classification__random_state': 24, 'feature_selection__k': 150}",0.8587900098220668,0.05083693745631852,53,81.96959622701009,19.412668992027722,0.7820512453715006,0.24487986516104449
"{'classification__criterion': 'gini', 'classification__max_depth': 5, 'classification__max_samples': 0.5, 'classification__n_estimators': 300, 'classification__random_state': 24, 'feature_selection__k': 200}",0.8569907718650591,0.0539303399543959,62,93.71841828028361,22.305397552597285,0.9208049774169922,0.42737501794279886
