params,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time
"{'classification__C': 0.5, 'classification__gamma': 'scale', 'classification__kernel': 'poly', 'classification__random_state': 24, 'feature_selection__k': 75}",0.8595915895140213,0.06559328083473387,60,172.12132612864175,76.06268491218756,36.28481141726176,10.29026189979257
"{'classification__C': 0.5, 'classification__gamma': 'scale', 'classification__kernel': 'poly', 'classification__random_state': 24, 'feature_selection__k': 100}",0.8670432280136797,0.041118112132844865,47,172.07555119196573,69.26327145951383,40.47180310885111,15.028216439465771
"{'classification__C': 0.5, 'classification__gamma': 'scale', 'classification__kernel': 'poly', 'classification__random_state': 24, 'feature_selection__k': 150}",0.8801165427782168,0.029674022632217873,32,225.1239422162374,88.8315743417127,72.14116009076436,18.886169119510765
"{'classification__C': 0.5, 'classification__gamma': 'scale', 'classification__kernel': 'poly', 'classification__random_state': 24, 'feature_selection__k': 200}",0.877299624937219,0.03359837122593415,35,278.8940382003784,91.29664482466498,92.63459499677022,22.220422399857476
"{'classification__C': 0.5, 'classification__gamma': 'scale', 'classification__kernel': 'poly', 'classification__random_state': 24, 'feature_selection__k': 300}",0.8665501680713081,0.05045862029733604,48,376.8447148799896,115.30098922526939,144.58416072527567,38.27353821717109
"{'classification__C': 0.5, 'classification__gamma': 'scale', 'classification__kernel': 'poly', 'classification__random_state': 24, 'feature_selection__k': 400}",0.8717920216534004,0.0419225405456373,41,497.03609681129456,184.7536913656712,182.77112142244974,51.87239325112375
"{'classification__C': 0.5, 'classification__gamma': 'scale', 'classification__kernel': 'rbf', 'classification__random_state': 24, 'feature_selection__k': 75}",0.8606260147036814,0.0603656111189249,59,353.7988648414612,281.46497315483475,75.11011521021526,25.359590883065213
"{'classification__C': 0.5, 'classification__gamma': 'scale', 'classification__kernel': 'rbf', 'classification__random_state': 24, 'feature_selection__k': 100}",0.8655207794977596,0.041670682559683224,50,231.4020185470581,104.12599311574971,81.713210105896,23.567530288503466
"{'classification__C': 0.5, 'classification__gamma': 'scale', 'classification__kernel': 'rbf', 'classification__random_state': 24, 'feature_selection__k': 150}",0.8858875305882546,0.025773689339473133,17,538.4443946679434,426.3013546744565,123.74885606765747,36.454106132216396
"{'classification__C': 0.5, 'classification__gamma': 'scale', 'classification__kernel': 'rbf', 'classification__random_state': 24, 'feature_selection__k': 200}",0.8843980201627399,0.02874177998969754,20,585.8584361076355,317.4683513698072,160.3959489663442,58.7444194760232
"{'classification__C': 0.5, 'classification__gamma': 'scale', 'classification__kernel': 'rbf', 'classification__random_state': 24, 'feature_selection__k': 300}",0.8818889287424949,0.032867637731413386,28,451.2468492984772,117.11226920001135,249.60684521993002,89.33986848688563
